Users_ID,Service_Model,Task_Name,Service_ID,ResponseTime,Throughput
0,TrafficCongestion,TJAW_I,1139,5.332999999999998,0.562
0,TrafficCongestion,ISA_E,246,0.19,47.368
0,TrafficCongestion,RSS_E,252,0.158,44.303
0,TrafficCongestion,IVS_I,86,0.29600000000000004,10.135
0,TrafficCongestion,ERP_I,413,5.8660000000000005,0.34
0,RiskyVehicleSpeed,ISA_I,81,0.239,12.552
0,RiskyVehicleSpeed,NAAS_E,111,0.885,9.039
0,RiskyVehicleSpeed,ERP_E,507,0.328,9.146
0,RiskyVehicleSpeed,IVS_V,923,0.314,12.738
0,RiskyDriverHealth,ISA_I,464,0.128,23.437
0,RiskyDriverHealth,NAAS_I,1054,15.12,0.264
0,RiskyDriverHealth,ERS,1248,5.924,0.506
0,RiskyDriverHealth,RSS_V,1346,5.3279999999999985,0.375
0,RiskyDriverHealth,IVS_V,957,0.081,37.037
0,RiskyDriverHealth,IVS_I,1204,0.063,47.619
0,RiskyDriverHealth,AEVW,349,0.142,28.169
0,RiskyDriverHealth,ERP_I,1221,0.588,6.8020000000000005
1,TrafficCongestion,TJAW_I,1311,0.049,40.816
1,TrafficCongestion,ISA_E,868,0.32,584.375
1,TrafficCongestion,RSS_E,295,0.872,121.559
1,TrafficCongestion,IVS_I,679,0.206,14.563
1,TrafficCongestion,ERP_I,189,0.442,20.361
1,RiskyDriverExperience,ISA_I,146,0.875,4.5710000000000015
1,RiskyDriverExperience,NAAS_I,379,0.391,10.23
1,RiskyDriverExperience,IVS_I,1281,0.175,40.0
1,RiskyDriverExperience,RSS_V,116,0.399,5.012
1,RiskyDriverExperience,IVS_V,1031,0.359,13.927
1,RiskyDriverHealth,ISA_I,98,0.126,23.809
1,RiskyDriverHealth,NAAS_I,688,0.085,35.29400000000001
1,RiskyDriverHealth,ERS,1061,6.634,0.452
1,RiskyDriverHealth,RSS_V,660,0.09,33.333
1,RiskyDriverHealth,IVS_V,79,0.098,30.612
1,RiskyDriverHealth,IVS_I,966,0.017,235.294
1,RiskyDriverHealth,AEVW,289,1.3019999999999998,3.072
1,RiskyDriverHealth,ERP_I,875,0.016,187.5
2,RiskyRoad,RWW,1140,0.6629999999999999,3.016
2,RiskyRoad,ISA_I,891,0.112,26.785
2,RiskyRoad,RSS_I,1166,0.466,4.291
2,RiskyRoad,NAAS_I,1298,0.462,6.4929999999999986
2,RiskyRoad,IVS_I,380,1.474,3.392
2,RiskyRoad,ERP_I,1221,0.7929999999999999,5.044
2,RiskyVehicleSpeed,ISA_I,782,0.426,9.389
2,RiskyVehicleSpeed,NAAS_E,6,0.417,7.194
2,RiskyVehicleSpeed,ERP_E,1179,0.421,30.878
